artist_key,name_en,name_ko,slug_candidate,stages_pipe,source_files_pipe,name_en_variants_pipe
DANGJOKLIVECOUNSELINGCENTER,DANGJOK LIVE COUNSELING CENTER,댕쪽이 라이브 상담소,dangjok-live-counseling-center,MADANG,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DANGJOK LIVE COUNSELING CENTER
DAOX,DAOX,다옥스,daox,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DAOX
DATAMEMORYACCESSLIVE,DATA MEMORY ACCESS (LIVE),데이타 메모리 엑세스 (라이브),data-memory-access-live,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DATA MEMORY ACCESS (LIVE)
DEMUJA,DEMUJA,,demuja,JANDI,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DEMUJA
DGURU,DGURU,,dguru,JANDI,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DGURU
DISCOAEROBIC,DISCO AEROBIC,디스코에어로빅,disco-aerobic,MADANG,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DISCO AEROBIC
DJMASDA,DJ MASDA,디제이 마스다,dj-masda,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DJ MASDA
DJSIN,DJ SIN,,dj-sin,SOOP,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DJ SIN
DJSOULSCAPE,DJ SOULSCAPE,디제이 소울스케이프,dj-soulscape,MAUM|SOOP,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DJ SOULSCAPE
DOTT,DOTT,,dott,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DOTT
DUUMOK,DUUMOK,두목,duumok,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DUUMOK
FIELDRECORDING,FIELD RECORDING,들리는 매개체,field-recording,MADANG,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,FIELD RECORDING
FRANCESCODELGARDA,FRANCESCO DEL GARDA,프란체스코 델 가르다,francesco-del-garda,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,FRANCESCO DEL GARDA
FRANCESCOFARFA,FRANCESCO FARFA,프란체스코 팔파,francesco-farfa,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,FRANCESCO FARFA
GABBS,GABBS,갑스,gabbs,HANOK,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,GABBS
GOOGIJEONG,GOO GIJEONG,구기정,goo-gijeong,EXHIBITION,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,GOO GIJEONG
